Intent,User Example,Bot Response
greeting,Hi,Hi there! 👋 Welcome to realXmarket by Xcavate — your gateway to fractional real estate investments powered by Web3. How can I help you today?
goodbye,Bye,"You're welcome! 👋 If you have any more questions, just drop by. Wishing you great success with your investments!"
thank_you,Thanks,No problem at all! 😊 Always happy to assist. Feel free to explore our platform or chat with me again anytime.
investment_process,How do I invest?,"To invest in a property on realXmarket, simply: (1) Create an account and complete KYC verification, (2) Connect your wallet, (3) Browse verified property listings, and (4) Choose an offering and buy tokens using USDT or supported assets. The process is fully secured via smart contracts."
security_measures,Is my investment safe?,"Absolutely. We prioritize your security with end-to-end encryption, secure wallet integration, smart contract audits, and role-based access controls. All transactions are recorded on the blockchain for full transparency."
regulatory_compliance,Are you legal?,"Yes — Xcavate adheres to global compliance standards including KYC (Know Your Customer), AML (Anti-Money Laundering), and regional investment guidelines. We partner with legal experts to ensure every project is properly vetted and compliant."
fees_and_costs,What are the charges?,"There are minimal platform fees for each transaction, transparently shown before you invest. You may also encounter blockchain gas fees depending on the network you’re using (e.g., Ethereum or Solana). We do not charge any hidden fees."
technical_support,The site isn’t working,"Sorry to hear that! Please make sure your wallet (like MetaMask or Phantom) is properly connected and refreshed. If issues persist, contact our technical team via the support form or join our Discord for real-time assistance."
tokenization_explained,What is tokenization?,"Tokenization means converting physical real estate into digital tokens on the blockchain. These tokens represent fractional ownership — allowing more people to invest, diversify portfolios, and trade real estate just like stocks or crypto assets."
benefits_of_using_xcavate,Why Xcavate?,"realXmarket allows global users to invest in vetted real estate deals with lower capital, faster liquidity, and transparent smart contract-based ownership. We make property investing flexible, secure, and accessible — all without the red tape."
transaction_failure,Transaction didn't go through,"We understand how frustrating that can be. Please check your wallet transaction history and blockchain explorer for confirmation. If it failed or is stuck, contact our support team and share your transaction ID for prompt resolution."
wallet_setup,How do I connect my wallet?,"To connect your wallet, click 'Connect Wallet' at the top right corner and select your preferred wallet provider (e.g., MetaMask, Phantom). Approve the connection in your wallet app to get started."
property_verification,How are properties verified?,"All properties listed on realXmarket go through a strict due diligence process including title verification, ownership checks, and legal review by trusted partners before being tokenized."
language_support,Is the app available in other languages?,"Currently, we support English, but multi-language support is planned in future updates. Stay tuned for announcements."
partnerships,Are you working with property developers?,"Yes! We collaborate with established property developers and real estate firms globally. Our partnerships ensure that only high-quality, legally compliant projects are listed."
